X,Y,Z,Name,description
-41.4957702,-15.9659334,0,"3",
-41.4955173,-15.9658245,0,"4",
-41.4954838,-15.9654764,0,"5",
-41.49552,-15.9651245,0,"6",
-41.4971693,-15.9616298,0,"19",
-41.4982219,-15.9614736,0,"22",
-41.4979377,-15.9615544,0,"23",
-41.495324,-15.9627653,0,"27",
-41.4965584,-15.965137,0,"32",
-41.4961542,-15.9645085,0,"34",duvida
-41.4975377,-15.9644228,0,"41",
-41.497649,-15.9646227,0,"42",
-41.4982042,-15.9637934,0,"48",
-41.497732,-15.9642134,0,"53",
-41.4970914,-15.9652815,0,"56",
-41.4980399,-15.9650892,0,"57",
-41.4980414,-15.9651986,0,"58",não é possível ver no streetview
-41.4982485,-15.9652659,0,"59",
-41.4981629,-15.9652131,0,"60",
-41.4965595,-15.9657809,0,"64",
-41.498529,-15.9664495,0,"70",
-41.498254,-15.9665839,0,"71",
-41.498368,-15.9670069,0,"72",
-41.498234,-15.967382,0,"75",
-41.4977901,-15.9652286,0,"76",
-41.4979932,-15.9670009,0,"82",
-41.4977746,-15.9670022,0,"84",
-41.4976942,-15.9670615,0,"85",
-41.4968029,-15.9677515,0,"91",
-41.497236,-15.9675298,0,"93",
-41.4977232,-15.9682208,0,"98",
-41.4977684,-15.9684341,0,"99",
-41.4970911,-15.9677147,0,"101",
-41.4992946,-15.9676489,0,"102",
-41.4993791,-15.967694,0,"104",
-41.5001596,-15.9683168,0,"107",
-41.5003205,-15.9681595,0,"108",
-41.5003111,-15.9683503,0,"109",
-41.5006128,-15.9691705,0,"116",
-41.5004787,-15.9690557,0,"117",
-41.4998967,-15.9686792,0,"118",
-41.4995641,-15.9684678,0,"119",
-41.4993589,-15.9683246,0,"120",
-41.496262,-15.9704437,0,"125",
-41.4977303,-15.9703715,0,"144",
-41.4957296,-15.9717213,0,"148",
-41.4949623,-15.9726234,0,"151",
-41.4946754,-15.9700387,0,"158",
-41.4983791,-15.9613648,0,"161",
