X,Y,Z,Name,description,gx_media_links
-41.2854506,-16.0080023,0,"2",Técnica Adobe,
-41.2838831,-16.0078583,0,"3",,
-41.2839661,-16.0078839,0,"4",,
-41.2837244,-16.007831,0,"5",,
-41.2804529,-16.0065525,0,"6",,
-41.2809796,-16.0101262,0,"7",,
-41.2788972,-16.0097184,0,"9",,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRB64sz5-fMBG4pGYEhO2l-KlvD2QoTZnQzSfptk85ig_epPVolz2BInkDNNBkEq6nJNyxPNkUZ3Ik6X8s-MiUSrTXEORpB2cTrtCdA8CoXf-dXTrhHjE2S_pRappzf7Bnbm_DEp75x_AOTCujIawTpI689FKaBTGIp_967Aw9pQ7hrgsVbWPmKheydQ5-Q3FaMKJn8hUT2MBT6uzmCLLwatRIJc-97PTEtCO_9UvpajocbXYsBdjVsSSY?authuser=0&fife=s16383
-41.2785297,-16.0087219,0,"10",,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRjjkh89reFYG7Pa6tpm3bR0vJX2jqSmR4EVvQn00etveeW7Q-CgTEqkHsMTUsSMd-U-1saDLk77M32wkHl8U4e66Xoxcaiunpy63BqLqUZMTCrh9V0g4nZa4QROeEzhcYpYqL9Vdfwxofh8s6jgpJb3btmMLoUUXg1UjT-_fgF4UCS_JG_ZaJjnU7UTbG7GBV1UhKPsc_djlmnvCrpxdGIjpfyNb2kh9u3_aZkC-AvzV1z3RQpyO6HA8w?authuser=0&fife=s16383
-41.2796351,-15.9909555,0,"11",,
-41.2803024,-15.9959465,0,"15",,
-41.2806077,-15.9956209,0,"16",,
-41.2806208,-15.9909471,0,"21",,
-41.2807164,-15.9903998,0,"22",,
-41.2807459,-15.9902051,0,"24",,
-41.2812754,-15.9896765,0,"30",,
-41.2814295,-15.9905546,0,"31",,
-41.2813994,-15.9915181,0,"33",,
-41.2807918,-15.9915426,0,"34",,
-41.2810117,-15.99154,0,"35",,
-41.281311,-15.9917233,0,"36",,
-41.2815747,-15.9915156,0,"37",,
-41.2824087,-15.9911428,0,"38",,
-41.2792307,-16.0091129,0,"41",,
-41.2850614,-16.0075581,0,"59",,
-41.281939,-16.0105378,0,"64",,
-41.2813386,-15.9911549,0,"67",,
-41.2832227,-15.9909075,0,"68",,
-41.2834079,-15.9904446,0,"70",,
-41.2826205,-15.9908203,0,"73",,
-41.2825454,-15.9908486,0,"74",,
-41.2823858,-15.9907235,0,"75",,
-41.2838475,-15.9901664,0,"76",,
-41.2837187,-15.9900775,0,"77",,
-41.2837214,-15.9900027,0,"78",,
-41.2838662,-15.9900169,0,"79",,
-41.283881,-15.9899537,0,"80",,
-41.2842772,-15.9902696,0,"84",,
-41.2843711,-15.9903237,0,"85",,
-41.2838158,-15.9894238,0,"86",,
-41.2840638,-15.9889671,0,"88",,
-41.2836268,-15.9888319,0,"91",,
-41.2832392,-15.9888931,0,"92",,
-41.2831963,-15.9888853,0,"93",,
-41.2831199,-15.9889176,0,"94",,
-41.2830796,-15.988924,0,"95",,
-41.2829509,-15.9889395,0,"98",,
-41.2828489,-15.988808,0,"99",,
-41.2828315,-15.9889485,0,"101",,
-41.2821288,-15.9890761,0,"103",,
-41.2818544,-15.9894051,0,"106",,
-41.2819026,-15.9891898,0,"109",,
-41.2823792,-15.9894655,0,"112",,
-41.2831266,-15.9894683,0,"116",,
-41.2834109,-15.9893554,0,"118",,
-41.2832728,-15.989269,0,"120",,
-41.28313,-15.9899192,0,"122",,
-41.2831635,-15.9898547,0,"123",,
-41.2847165,-15.9895322,0,"127",,
-41.2847916,-15.989264,0,"129",,
-41.2845955,-15.9895946,0,"130",,
-41.2845968,-15.9895237,0,"131",,
-41.2846003,-15.9894157,0,"132",,
-41.2844931,-15.9890574,0,"133",,
-41.2844984,-15.9889748,0,"134",,
-41.2845199,-15.9887938,0,"135",,
-41.284662,-15.9888866,0,"136",,
-41.2669844,-15.9962686,0,"140",,
-41.2667792,-15.9963718,0,"142",,
-41.267505,-15.9960611,0,"146",,
-41.2690295,-15.997953,0,"151",,
-41.2692561,-15.9985163,0,"153",,
-41.2682027,-15.9977208,0,"154",,
-41.26796,-15.9975571,0,"155",,
-41.2676436,-15.9969785,0,"164",,
-41.2674934,-15.9971216,0,"165",,
-41.2678032,-15.9977155,0,"166",,
-41.2683128,-15.9984516,0,"167",,
-41.2671138,-15.9971038,0,"171",,
-41.268829,-15.9959756,0,"175",,
-41.2690409,-15.9963201,0,"177",,
-41.2717736,-15.989535,0,"178",,
-41.2721595,-15.9902017,0,"181",,
-41.2723311,-15.9900289,0,"183",,
-41.2725434,-15.9897896,0,"186",,
-41.2726602,-15.9898958,0,"187",,
-41.272129,-15.9894961,0,"191",,
-41.2723209,-15.9894493,0,"192",,
-41.2728277,-15.9896534,0,"196",,
-41.2727439,-15.9897753,0,"197",,
-41.2720859,-15.9903081,0,"198",,
-41.2729702,-15.9951169,0,"204",,
-41.2728129,-15.9902385,0,"211",,
-41.272554,-15.9902965,0,"212",,
-41.2719447,-15.9910113,0,"215",,
-41.2722867,-15.9914963,0,"216",,
-41.2721633,-15.9921218,0,"217",,
-41.2710631,-15.9919833,0,"218",,
-41.2704455,-15.9935147,0,"220",,
-41.2704683,-15.9939219,0,"222",,
-41.2693718,-15.9943949,0,"223",,
-41.2703979,-15.9960436,0,"225",,
-41.2699793,-15.9936372,0,"229",,
-41.2697782,-15.993947,0,"231",,
-41.2713413,-15.9925977,0,"234",,
-41.2712005,-15.9932991,0,"235",,
-41.2714405,-15.9938766,0,"236",,
-41.2693476,-15.9932973,0,"238",,
-41.2704464,-15.9954086,0,"239",,
-41.2708927,-15.9961698,0,"243",,
-41.2706211,-15.9945525,0,"244",,
-41.2713788,-15.9957514,0,"246",,
-41.2679729,-15.9973777,0,"251",,
-41.268103,-15.9971508,0,"252",,
-41.2672462,-15.9970129,0,"254",,
-41.2702328,-15.997726,0,"256",,
-41.2720412,-15.998382,0,"257",,
-41.2721485,-15.9971841,0,"266",,
-41.2719285,-15.9971132,0,"267",,
-41.2719393,-15.9978222,0,"269",,
-41.2724312,-15.9977644,0,"271",,
-41.2731006,-15.9978791,0,"273",,
-41.2737499,-15.9980094,0,"277",,
-41.2756078,-15.9969354,0,"283",,
-41.2755087,-15.9975889,0,"284",,
-41.2680588,-16.0119364,0,"287",,
-41.268007,-16.0119425,0,"288",,
-41.2677307,-16.0118806,0,"292",,
-41.2679467,-16.0119554,0,"290",,
